smiles,standardized_value
CN(CC(O)CO)C(=O)c1ccc2c(c1)Cc1cccc(c1)C(=O)NCCOCCO2,-7.699
O=C1CCSCc2ccc(cc2)CSC/C=C/CNC(=O)[C@H]2CCCN(C2)C(=O)[C@H](Cc2ccc(Cl)cc2)N1,-5.43
O=C(CN1CCC2NC(=O)C(Cc3ccccc3)NC(=O)C3(C/C=C/CC2C1)CCOCC3)Nc1nc2c(s1)CCCC2,-5.606
CCC(=O)N1CCCN(C)CCCN(C(=O)c2scnc2C)Cc2cc(F)c(F)cc21,-4.965
CC(C)CC1NC(=O)CCC(C(=O)NCC(O)c2ccccc2)NC(=O)c2ccccc2OCCNC1=O,-8.0
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CNC(=O)OC(C)(C)C)CCO2)C1=O,-5.963
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3nc(C)n(-c4ccccc4)n3)CCO2)C1=O,-5.845
Cc1cnccc1NC(=O)CCc1ccc2c(c1)CN(C(C)C)CC(=O)NCCCCCO2,-4.605
Cc1cccc(NC(=O)CCCC(=O)N2CCOC3(C/C=C/Cc4ccccc4OCCNC3=O)C2)n1,-5.936
COc1ccc(OCCNC(=O)C2CC(=O)NC(C)C(=O)N(C)C(Cc3ccccc3)COc3ccccc3C(=O)N2)cc1,-6.678
COC1CN(C(C)=O)CCCN(CC(=O)Nc2cccnc2Cl)CCCCOCC(O)C1O,-8.0
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)Cc2ccc(F)cc2)CC(=O)N1,-6.097
CCCCCC(=O)N1CCCCN(C)C(=O)c2ccccc2OC2CCCCC21,-5.327
O=C1CN(Cc2ccccc2)Cc2c(cccc2C(=O)NC2CCCC2)OCCCCCN1,-6.131
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3ccncn3)CC2)C(=O)N1,-5.516
CCOCCNC(=O)C1CC(=O)NC(C(C)O)C(=O)N(C)CCOc2ccccc2C(=O)N1,-7.0
CCN(CC)CCNC(=O)C1CCC(=O)NC(C(C)C)C(=O)NC(C(C)C)COc2ccccc2C(=O)N1,-7.046
CC(C)NC1=NCCOCCOc2ccccc2Oc2ncccc21,-7.699
O=C1NCCCCN(C(=O)c2cccc(C(F)(F)F)c2)CCCCOc2ccc(Cl)cc21,-5.369
Cc1ccc(OCCNC(=O)C2CC(=O)NC(CC(C)C)C(=O)N(C)CCOc3ccccc3C(=O)N2)cc1,-5.9505
O=C1CC(C(=O)NCCCCN2CCCC2)NC(=O)c2ccccc2OCCNC(=O)C(CO)N1,-7.097
CC(C)CN1CCOc2ccccc2CCCCC2(CCN(C(=O)c3ccc(N)nc3)CC2)C1,-6.602
CC(C)C[C@@H]1NCCCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,-7.02
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)Cc3c(C)nc4ccccn34)CCO2)C1=O,-5.536
CCC(=O)N1CCCN(C)CCCN(C(=O)c2ccc(OCC(C)C)cc2)Cc2cc(F)c(F)cc21,-6.194
Cc1cc(N(C)C)nc(C2CCN(C(=O)CCc3ccc4c(c3)CN(C(C)C)CC(=O)NCCCCCO4)CC2)n1,-5.142
O=C(CN1CCCCCCOc2ccccc2Oc2ncccc2C1)N1CCN(Cc2ccc(F)cc2)CC1,-6.06
